Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
02StronglyCorrelated	50	1000	14239	14239	17539	0.01562786102294922	
02StronglyCorrelated	50	10000	142283	142283	175283	0.03125	
02StronglyCorrelated	100	1000	29017	29017	35617	0.09376907348632812	
02StronglyCorrelated	100	10000	289961	289961	355961	0.15628504753112793	
02StronglyCorrelated	200	1000	51563	51563	65363	59.998154640197754	
02StronglyCorrelated	200	10000	515200	515200	653200	60.015514850616455	
02StronglyCorrelated	500	1000	127278	127278	162178	60.023537158966064	
02StronglyCorrelated	500	10000	1271685	1271685	1620685	60.019176721572876	
02StronglyCorrelated	1000	1000	245972	245972	316372	60.015716791152954	
02StronglyCorrelated	1000	10000	2457533	2456946	3160946	60.01344966888428	
02StronglyCorrelated	2000	1000	498452	498045	638545	60.009068727493286	
02StronglyCorrelated	2000	10000	4980108	4975606	6380606	60.00675082206726	
02StronglyCorrelated	5000	1000	1249257	1248734	1599334	60.00389075279236	
02StronglyCorrelated	5000	10000	12481621	12478096	15985096	60.00549364089966	
02StronglyCorrelated	10000	1000	2480964	2480569	3182769	60.00302529335022	
02StronglyCorrelated	10000	10000	24787545	24781461	31804461	60.001394271850586	

