Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
07SpannerUncorrelated	50	1000	4569	4569	13472	0.0030014514923095703	
07SpannerUncorrelated	50	10000	46338	46295	135733	0.004007101058959961	
07SpannerUncorrelated	100	1000	8751	8748	24228	60.02705001831055	
07SpannerUncorrelated	100	10000	88549	88483	243893	60.08663725852966	
07SpannerUncorrelated	200	1000	17280	17274	47836	60.02248430252075	
07SpannerUncorrelated	200	10000	174844	174792	482118	60.049651861190796	
07SpannerUncorrelated	500	1000	42900	42898	114616	60.00611758232117	
07SpannerUncorrelated	500	10000	433722	433675	1155011	60.038989782333374	
07SpannerUncorrelated	1000	1000	84660	84656	228624	60.01394510269165	
07SpannerUncorrelated	1000	10000	856124	856119	2304627	58.46374011039734	
07SpannerUncorrelated	2000	1000	168004	168004	459560	60.00663900375366	
07SpannerUncorrelated	2000	10000	1699424	1699321	4631744	60.02536630630493	
07SpannerUncorrelated	5000	1000	413032	413019	1131684	60.00268149375915
07SpannerUncorrelated	5000	10000	4178123	4177982	11405485	60.00782656669617	
07SpannerUncorrelated	10000	1000	834933	834925	2283100	60.003373861312866	
07SpannerUncorrelated	10000	10000	8445575	8445345	23010195	59.99899387359619	

