Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
10MultipleStronglyCorrelated	50	1000	14238	14238	21338	0.0	
10MultipleStronglyCorrelated	50	10000	142278	142265	217265	0.0	
10MultipleStronglyCorrelated	100	1000	29016	29016	43316	1.1284844875335693	
10MultipleStronglyCorrelated	100	10000	289956	289921	434921	0.0	
10MultipleStronglyCorrelated	200	1000	51558	51558	81658	18.332512378692627	
10MultipleStronglyCorrelated	200	10000	515196	515196	813196	3.6773834228515625	
10MultipleStronglyCorrelated	500	1000	127278	127278	203778	60.01385545730591	
10MultipleStronglyCorrelated	500	10000	1271682	1271682	2034682	60.01471972465515	
10MultipleStronglyCorrelated	1000	1000	245970	245970	399170	60.01620531082153	
10MultipleStronglyCorrelated	1000	10000	2457528	2457528	3995528	60.0104660987854	
10MultipleStronglyCorrelated	2000	1000	498450	498450	806150	60.0242977142334	
10MultipleStronglyCorrelated	2000	10000	4980108	4980100	8060100	0.013005256652832031	
10MultipleStronglyCorrelated	5000	1000	1249254	1249132	2019632	60.01090455055237	
10MultipleStronglyCorrelated	5000	10000	12481620	12480524	20174524	60.0112202167511	
10MultipleStronglyCorrelated	10000	1000	2480964	2480964	4019364	60.02310824394226	
10MultipleStronglyCorrelated	10000	10000	24787542	24787513	40193513	60.01495671272278	
