Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
11ProfitCeiling	50	1000	14239	14238	14229	1.1923890113830566	
11ProfitCeiling	50	10000	142283	142282	142272	0.6413266658782959	
11ProfitCeiling	100	1000	29017	29015	29001	56.58035969734192	
11ProfitCeiling	100	10000	289961	289959	289947	60.027892112731934	
11ProfitCeiling	200	1000	51563	51562	51540	60.051939964294434	
11ProfitCeiling	200	10000	515200	515199	515169	60.03951120376587	
11ProfitCeiling	500	1000	127278	127277	127239	58.66556191444397	
11ProfitCeiling	500	10000	1271685	1271685	1271616	17.853901863098145	
11ProfitCeiling	1000	1000	245972	245972	245877	60.02517318725586	
11ProfitCeiling	1000	10000	2457533	2457533	2457411	60.02316880226135	
11ProfitCeiling	2000	1000	498452	498450	498255	60.014798164367676	
11ProfitCeiling	2000	10000	4980108	4980106	4979889	60.01439428329468	
11ProfitCeiling	5000	1000	1249257	1249255	1248798	60.007384061813354	
11ProfitCeiling	5000	10000	12481621	12481621	12481146	60.0068781375885	
11ProfitCeiling	10000	1000	2480964	2480964	2479956	60.00335192680359	
11ProfitCeiling	10000	10000	24787545	24787545	24786621	60.00351405143738	

