Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
04AlmostStronglyCorrelated	50	1000	14239	14238	17556	0.01999831199645996	
04AlmostStronglyCorrelated	50	1000	11793	11792	16410	0.0010280609130859375	
04AlmostStronglyCorrelated	50	1000	13570	13569	19495	3.018434524536133	
04AlmostStronglyCorrelated	50	1000	13214	13214	19933	0.001994609832763672	
04AlmostStronglyCorrelated	50	1000	12263	12263	19683	0.09603095054626465	
04AlmostStronglyCorrelated	50	10000	142283	142283	183812	7.55504846572876	
04AlmostStronglyCorrelated	50	10000	117821	117821	169221	180.02982378005981	
04AlmostStronglyCorrelated	50	10000	135607	135607	200188	0.015997886657714844	
04AlmostStronglyCorrelated	50	10000	132031	132030	203710	140.44177532196045	
04AlmostStronglyCorrelated	50	10000	122529	122529	200688	0.11228752136230469	
04AlmostStronglyCorrelated	100	1000	29017	29016	68498	0.00701141357421875	
04AlmostStronglyCorrelated	100	1000	25391	25391	63505	0.160142183303833	
04AlmostStronglyCorrelated	100	1000	27381	27380	67284	0.3013432025909424	
04AlmostStronglyCorrelated	100	1000	26811	26811	67131	29.37344765663147	
04AlmostStronglyCorrelated	100	1000	23881	23881	63030	9.974799871444702	
04AlmostStronglyCorrelated	100	10000	289961	289961	431615	18.314988613128662	
04AlmostStronglyCorrelated	100	10000	253672	253672	403002	0.19773483276367188	
04AlmostStronglyCorrelated	100	10000	273625	273624	440953	180.04017424583435	
04AlmostStronglyCorrelated	100	10000	267913	267913	447435	0.03200387954711914	
04AlmostStronglyCorrelated	100	10000	238613	238613	422218	1.2606654167175293	
04AlmostStronglyCorrelated	200	1000	51563	51560	143188	0.01901721954345703	
04AlmostStronglyCorrelated	200	1000	48106	48106	138620	153.60122227668762	
04AlmostStronglyCorrelated	200	1000	49000	49000	141621	180.0263376235962	
04AlmostStronglyCorrelated	200	1000	50855	50855	146275	180.04781556129456	
04AlmostStronglyCorrelated	200	1000	49428	49428	144973	45.910828590393066	
04AlmostStronglyCorrelated	200	10000	515200	515197	833619	180.02479100227356	
04AlmostStronglyCorrelated	200	10000	480612	480611	820059	180.02300262451172	
