Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
06UncorrelatedWithSimilarWeights	50	1000	2476727	2476727	2476727	0.8087894916534424	
06UncorrelatedWithSimilarWeights	50	1000	2476607	2476607	2476607	0.8221738338470459	
06UncorrelatedWithSimilarWeights	50	1000	2476627	2476627	2476627	0.7967958450317383	
06UncorrelatedWithSimilarWeights	50	1000	2476606	2476606	2476606	0.7860078811645508	
06UncorrelatedWithSimilarWeights	50	1000	2476406	2476406	2476406	0.8070878982543945	
06UncorrelatedWithSimilarWeights	50	10000	2476727	2476727	2476727	0.7973663806915283	
06UncorrelatedWithSimilarWeights	50	10000	2476607	2476607	2476607	0.8027145862579346	
06UncorrelatedWithSimilarWeights	50	10000	2476627	2476627	2476627	0.7752721309661865	
06UncorrelatedWithSimilarWeights	50	10000	2476606	2476606	2476606	0.7864367961883545	
06UncorrelatedWithSimilarWeights	50	10000	2476406	2476406	2476406	0.8061408996582031	
06UncorrelatedWithSimilarWeights	100	1000	4952745	4952745	4952745	1.5864472389221191	
06UncorrelatedWithSimilarWeights	100	1000	4952761	4952761	4952761	1.6526894569396973	
06UncorrelatedWithSimilarWeights	100	1000	4952651	4952651	4952651	1.5985732078552246	
06UncorrelatedWithSimilarWeights	100	1000	4952898	4952898	4952898	1.651552438735962	
06UncorrelatedWithSimilarWeights	100	1000	4953050	4953050	4953050	1.5818607807159424	
06UncorrelatedWithSimilarWeights	100	10000	4952745	4952745	4952745	1.6479477882385254	
06UncorrelatedWithSimilarWeights	100	10000	4952761	4952761	4952761	1.642197608947754	
06UncorrelatedWithSimilarWeights	100	10000	4952651	4952651	4952651	1.6424932479858398	
06UncorrelatedWithSimilarWeights	100	10000	4952898	4952898	4952898	1.6827788352966309	
06UncorrelatedWithSimilarWeights	100	10000	4953050	4953050	4953050	1.649428367614746	
06UncorrelatedWithSimilarWeights	200	1000	9906016	9906016	9906016	2.292236566543579	
06UncorrelatedWithSimilarWeights	200	1000	9905870	9905870	9905870	2.2277097702026367	
06UncorrelatedWithSimilarWeights	200	1000	9906122	9906122	9906122	2.204052209854126	
06UncorrelatedWithSimilarWeights	200	1000	9905943	9905943	9905943	2.2049012184143066	
06UncorrelatedWithSimilarWeights	200	1000	9906136	9906136	9906136	2.1983399391174316	
06UncorrelatedWithSimilarWeights	200	10000	9906016	9906016	9906016	2.3182318210601807	
06UncorrelatedWithSimilarWeights	200	10000	9905870	9905870	9905870	2.4230971336364746	
06UncorrelatedWithSimilarWeights	200	10000	9906122	9906122	9906122	2.4581058025360107	
06UncorrelatedWithSimilarWeights	200	10000	9905943	9905943	9905943	2.3174920082092285	
06UncorrelatedWithSimilarWeights	200	10000	9906136	9906136	9906136	2.287193775177002	
06UncorrelatedWithSimilarWeights	500	1000	24764323	24764323	24764323	7.177437782287598	
06UncorrelatedWithSimilarWeights	500	1000	24765570	24765570	24765570	7.595513105392456	
06UncorrelatedWithSimilarWeights	500	1000	24764898	24764898	24764898	7.413419008255005	
06UncorrelatedWithSimilarWeights	500	1000	24764553	24764553	24764553	7.676393508911133	
06UncorrelatedWithSimilarWeights	500	1000	24764789	24764789	24764789	7.93535852432251	
06UncorrelatedWithSimilarWeights	500	10000	24764323	24764323	24764323	7.8706700801849365	
06UncorrelatedWithSimilarWeights	500	10000	24765570	24765570	24765570	8.150230407714844	
06UncorrelatedWithSimilarWeights	500	10000	24764898	24764898	24764898	8.53034234046936	
