Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
07SpannerUncorrelated	50	1000	4569	4569	13472	0.005998134613037109	
07SpannerUncorrelated	50	1000	6638	6624	20916	180.129221200943	
07SpannerUncorrelated	50	1000	936	933	15196	0.26409912109375	
07SpannerUncorrelated	50	1000	6758	6745	42658	183.50949478149414	
07SpannerUncorrelated	50	1000	3655	3654	32839	42.086602449417114	
07SpannerUncorrelated	50	10000	46338	46316	158760	180.03780269622803	
07SpannerUncorrelated	50	10000	66741	66718	232291	180.10684037208557	
07SpannerUncorrelated	50	10000	10013	10010	161343	0.02825641632080078	
07SpannerUncorrelated	50	10000	68756	68754	448757	180.0359241962433	
07SpannerUncorrelated	50	10000	36554	36543	344903	180.09860968589783	
07SpannerUncorrelated	100	1000	8751	8750	146628	20.299553871154785	
07SpannerUncorrelated	100	1000	11944	11942	182954	1.6048531532287598	
07SpannerUncorrelated	100	1000	1673	1670	29058	168.66388392448425	
07SpannerUncorrelated	100	1000	12733	12732	203007	64.5383996963501	
07SpannerUncorrelated	100	1000	7265	7264	124572	102.82809376716614	
07SpannerUncorrelated	100	10000	88549	88516	548725	180.0931098461151	
07SpannerUncorrelated	100	10000	120087	120077	661316	180.09042477607727	
07SpannerUncorrelated	100	10000	17815	17798	304018	180.08540511131287	
07SpannerUncorrelated	100	10000	129546	129544	1064307	180.11513471603394	
07SpannerUncorrelated	100	10000	72653	72650	874701	180.0912787914276	
07SpannerUncorrelated	200	1000	17280	17278	295154	180.07477593421936	
07SpannerUncorrelated	200	1000	25949	25949	437794	0.015624046325683594	
07SpannerUncorrelated	200	1000	3321	3320	57768	180.12693285942078	
07SpannerUncorrelated	200	1000	24625	24604	421044	180.08649468421936	
07SpannerUncorrelated	200	1000	13840	13839	237597	180.06289911270142	
07SpannerUncorrelated	200	10000	174844	174780	1289827	180.07572221755981	
07SpannerUncorrelated	200	10000	260906	260895	1576883	180.10769367218018	
07SpannerUncorrelated	200	10000	35420	35416	605272	180.07613825798035	
07SpannerUncorrelated	200	10000	250498	250488	2272527	180.08381748199463	
07SpannerUncorrelated	200	10000	138405	138362	1887583	180.04479336738586	
07SpannerUncorrelated	500	1000	42900	42893	732667	180.09500885009766	
07SpannerUncorrelated	500	1000	63375	63371	1048970	180.04686832427979	
07SpannerUncorrelated	500	1000	8273	8270	143898	175.7663562297821	
