Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
08SpannerWeaklyCorrelated	50	1000	11459	11455	199317	180.0208649635315	
08SpannerWeaklyCorrelated	50	1000	6502	6500	113100	180.01865339279175	
08SpannerWeaklyCorrelated	50	1000	13355	13355	232377	0.4614880084991455	
08SpannerWeaklyCorrelated	50	1000	5402	5400	93960	180.0140552520752	
08SpannerWeaklyCorrelated	50	1000	2187	2185	38019	180.01520204544067	
08SpannerWeaklyCorrelated	50	10000	115938	115935	2017269	180.01592230796814	
08SpannerWeaklyCorrelated	50	10000	65173	65170	1133958	180.0209357738495	
08SpannerWeaklyCorrelated	50	10000	133564	133560	2323944	180.01624393463135	
08SpannerWeaklyCorrelated	50	10000	54815	54815	953781	2.3618252277374268	
08SpannerWeaklyCorrelated	50	10000	22378	22375	389325	180.01411414146423	
08SpannerWeaklyCorrelated	100	1000	20835	20835	362529	0.6609222888946533	
08SpannerWeaklyCorrelated	100	1000	12015	12015	209061	0.38219404220581055	
08SpannerWeaklyCorrelated	100	1000	24329	24325	423255	180.01578879356384	
08SpannerWeaklyCorrelated	100	1000	9987	9985	173739	180.00759959220886	
08SpannerWeaklyCorrelated	100	1000	4361	4360	75864	180.0207598209381	
08SpannerWeaklyCorrelated	100	10000	210690	210690	3666006	6.377613306045532	
08SpannerWeaklyCorrelated	100	10000	120408	120405	2095047	180.02136135101318	
08SpannerWeaklyCorrelated	100	10000	243283	243280	4233072	180.01670122146606	
08SpannerWeaklyCorrelated	100	10000	101437	101435	1764969	180.0230987071991	
08SpannerWeaklyCorrelated	100	10000	44640	44640	776736	3.891371726989746	
08SpannerWeaklyCorrelated	200	1000	41138	41135	715749	180.01972222328186	
08SpannerWeaklyCorrelated	200	1000	23774	23770	413598	180.0345742702484	
08SpannerWeaklyCorrelated	200	1000	47962	47960	834504	180.01652836799622	
08SpannerWeaklyCorrelated	200	1000	19807	19805	344607	180.0185582637787	
08SpannerWeaklyCorrelated	200	1000	8325	8325	144855	0.28368711471557617	
08SpannerWeaklyCorrelated	200	10000	415993	415991	7180909	180.00755167007446	
08SpannerWeaklyCorrelated	200	10000	238323	238320	4146768	180.01736092567444	
08SpannerWeaklyCorrelated	200	10000	479623	479619	8265073	180.00731134414673	
08SpannerWeaklyCorrelated	200	10000	200911	200910	3495834	180.0099699497223	
08SpannerWeaklyCorrelated	200	10000	85232	85230	1483002	180.01897740364075	
08SpannerWeaklyCorrelated	500	1000	100079	100075	1741305	180.04948019981384	
08SpannerWeaklyCorrelated	500	1000	64615	64615	1124301	1.9454541206359863	
08SpannerWeaklyCorrelated	500	1000	119523	119520	2079648	180.01086592674255	
08SpannerWeaklyCorrelated	500	1000	47378	47375	824325	180.02237010002136	
08SpannerWeaklyCorrelated	500	1000	20523	20520	357048	180.0277979373932	
08SpannerWeaklyCorrelated	500	10000	1011786	1011773	17332567	180.0108926296234	
08SpannerWeaklyCorrelated	500	10000	647500	647498	11125650	180.0109260082245	
08SpannerWeaklyCorrelated	500	10000	1195221	1195220	20458360	180.01442980766296	
08SpannerWeaklyCorrelated	500	10000	480823	480812	8285408	180.00899147987366	
08SpannerWeaklyCorrelated	500	10000	210067	210065	3655131	180.013897895813	
08SpannerWeaklyCorrelated	1000	1000	198695	198695	3457293	8.63845181465149	
08SpannerWeaklyCorrelated	1000	1000	125509	125505	2183787	180.010755777359	
08SpannerWeaklyCorrelated	1000	1000	239749	239745	4171563	180.01554656028748	
08SpannerWeaklyCorrelated	1000	1000	93744	93740	1631076	180.04234170913696	
08SpannerWeaklyCorrelated	1000	1000	40608	40605	706527	180.01835417747498	
08SpannerWeaklyCorrelated	1000	10000	2008905	2008905	34322907	180.0101854801178	
08SpannerWeaklyCorrelated	1000	10000	1257632	1257617	21521583	180.0121932029724	
08SpannerWeaklyCorrelated	1000	10000	2397514	2397512	40944516	180.01234889030457	
08SpannerWeaklyCorrelated	1000	10000	951259	951254	16301414	180.02177906036377	
08SpannerWeaklyCorrelated	1000	10000	415640	415634	7174826	180.01155066490173	
08SpannerWeaklyCorrelated	2000	1000	397184	397172	6860248	180.01234650611877	
08SpannerWeaklyCorrelated	2000	1000	241910	241910	4209234	11.603638172149658	
08SpannerWeaklyCorrelated	2000	1000	473053	473040	8152972	180.00876331329346	
08SpannerWeaklyCorrelated	2000	1000	188674	188670	3282858	180.01448583602905	
08SpannerWeaklyCorrelated	2000	1000	81025	81025	1409835	3.138584852218628	
08SpannerWeaklyCorrelated	2000	10000	4016034	4016033	62277271	180.01396775245667	
08SpannerWeaklyCorrelated	2000	10000	2424664	2424657	41406995	180.01545214653015	
08SpannerWeaklyCorrelated	2000	10000	4730707	4730677	70268468	180.0073504447937	
08SpannerWeaklyCorrelated	2000	10000	1914100	1914096	32707436	180.00588202476501	
08SpannerWeaklyCorrelated	2000	10000	829282	829275	14222937	180.0031702518463	
08SpannerWeaklyCorrelated	5000	1000	977374	977372	16746428	180.03520345687866	
08SpannerWeaklyCorrelated	5000	1000	598731	598724	10294536	180.01207566261292	
08SpannerWeaklyCorrelated	5000	1000	1173139	1173137	20082083	180.01164889335632	
08SpannerWeaklyCorrelated	5000	1000	472953	472938	8151234	180.00750279426575	
08SpannerWeaklyCorrelated	5000	1000	203945	203945	3548643	9.988272905349731	
08SpannerWeaklyCorrelated	5000	10000	9882587	9882566	113397020	180.00871229171753	
08SpannerWeaklyCorrelated	5000	10000	6001223	6001221	84475225	180.0169107913971	
08SpannerWeaklyCorrelated	5000	10000	11731489	11731487	125887433	180.01098728179932	
08SpannerWeaklyCorrelated	5000	10000	4797619	4797590	71016677	180.0137379169464	
08SpannerWeaklyCorrelated	5000	10000	2087029	2087024	35654044	180.01082730293274	
08SpannerWeaklyCorrelated	10000	1000	1973467	1973460	33718952	180.01240968704224	
08SpannerWeaklyCorrelated	10000	1000	1220756	1220751	20893381	180.00023865699768	
08SpannerWeaklyCorrelated	10000	1000	2358113	2358102	40272950	180.01208353042603	
08SpannerWeaklyCorrelated	10000	1000	952876	952868	16328872	180.02750754356384	
08SpannerWeaklyCorrelated	10000	1000	410587	410585	7088795	180.00132131576538	
08SpannerWeaklyCorrelated	10000	10000	19954208	19954159	154559156	179.99969506263733	
08SpannerWeaklyCorrelated	10000	10000	12234735	12234720	133700964	180.0149621963501	
08SpannerWeaklyCorrelated	10000	10000	23581387	23581380	179006146	180.00660800933838	
08SpannerWeaklyCorrelated	10000	10000	9664923	9664921	115649133	180.01947712898254	
08SpannerWeaklyCorrelated	10000	10000	4201529	4201529	64351589	180.02176189422607	
