Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
10MultipleStronglyCorrelated	50	1000	14238	14238	21338	0.0039997100830078125	
10MultipleStronglyCorrelated	50	1000	11790	11790	21790	0.0009989738464355469	
10MultipleStronglyCorrelated	50	1000	13566	13565	26765	0.002001047134399414	
10MultipleStronglyCorrelated	50	1000	13212	13212	27912	0.001999378204345703	
10MultipleStronglyCorrelated	50	1000	12258	12258	28658	0.11400246620178223	
10MultipleStronglyCorrelated	50	10000	142278	142278	235678	180.04009580612183	
10MultipleStronglyCorrelated	50	10000	117816	117816	233716	180.05931496620178	
10MultipleStronglyCorrelated	50	10000	135606	135606	281906	15.200573921203613	
10MultipleStronglyCorrelated	50	10000	132030	132030	292830	0.003997325897216797	
10MultipleStronglyCorrelated	50	10000	122526	122526	299126	2.626636028289795	
10MultipleStronglyCorrelated	100	1000	29016	29016	121616	0.015625715255737305	
10MultipleStronglyCorrelated	100	1000	25386	25376	114976	0.0	
10MultipleStronglyCorrelated	100	1000	27378	27377	121077	0.015616416931152344	
10MultipleStronglyCorrelated	100	1000	26808	26808	121108	3.581616163253784	
10MultipleStronglyCorrelated	100	1000	23880	23880	114880	2.0387396812438965	
10MultipleStronglyCorrelated	100	10000	289956	289956	611056	54.77411651611328	
10MultipleStronglyCorrelated	100	10000	253668	253668	589568	180.0473232269287	
