Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
00Uncorrelated	50	1000	14778	14721	20995	0.0	
00Uncorrelated	50	1000	13598	13585	19836	0.0	
00Uncorrelated	50	1000	13810	13767	20561	0.0	
00Uncorrelated	50	1000	13596	13568	19789	0.0	
00Uncorrelated	50	1000	11618	11616	20961	0.0	

00Uncorrelated	50	10000	147678	147083	209818	0.0	
00Uncorrelated	50	10000	135850	135697	198223	0.0	
00Uncorrelated	50	10000	138017	137567	205492	0.0	
00Uncorrelated	50	10000	135881	135568	197735	0.0	
00Uncorrelated	50	10000	116084	116020	209482	0.0	

00Uncorrelated	100	1000	22545	22519	46537	0.0	
00Uncorrelated	100	1000	22714	22689	41049	0.0	
00Uncorrelated	100	1000	21618	21604	45504	0.0	
00Uncorrelated	100	1000	24044	24038	43435	0.0	
00Uncorrelated	100	1000	25547	25522	38846	0.0	

00Uncorrelated	100	10000	225238	225212	465424	0.0	
00Uncorrelated	100	10000	226940	226599	410173	0.0	
00Uncorrelated	100	10000	215957	215945	455227	0.0	
00Uncorrelated	100	10000	240202	240141	434159	0.0	
00Uncorrelated	100	10000	255270	255258	388270	0.01563549041748047	

00Uncorrelated	200	1000	50310	50302	84317	0.0	
00Uncorrelated	200	1000	48873	48841	78918	0.0	
00Uncorrelated	200	1000	51362	51359	80297	0.0	
00Uncorrelated	200	1000	49551	49545	81680	0.0	
00Uncorrelated	200	1000	51515	51515	84028	0.0	

00Uncorrelated	200	10000	502675	502608	843127	0.0	
00Uncorrelated	200	10000	488257	488249	788614	0.0	
00Uncorrelated	200	10000	513209	513122	802531	0.0	
00Uncorrelated	200	10000	495065	494970	816661	0.0	
00Uncorrelated	200	10000	514701	514691	839944	0.0	

00Uncorrelated	500	1000	118694	118693	207992	0.0	
00Uncorrelated	500	1000	131012	131008	202841	0.0	
00Uncorrelated	500	1000	124348	124347	201378	0.0	
00Uncorrelated	500	1000	120931	120926	203010	0.0	
00Uncorrelated	500	1000	123307	123293	211149	0.0	

00Uncorrelated	500	10000	1185848	1185802	2078639	0.01563715934753418	
00Uncorrelated	500	10000	1308998	1308912	2027173	0.0	
00Uncorrelated	500	10000	1242409	1242349	2012561	0.0	
00Uncorrelated	500	10000	1208223	1208198	2028979	0.015606880187988281	
00Uncorrelated	500	10000	1231966	1231956	2110451	0.015596389770507812	

00Uncorrelated	1000	1000	252480	252480	400811	0.0	
00Uncorrelated	1000	1000	243069	243069	418472	0.0	
00Uncorrelated	1000	1000	247352	247350	405157	0.0	
00Uncorrelated	1000	1000	247597	247585	399233	0.0	
00Uncorrelated	1000	1000	251588	251587	413024	0.0	

00Uncorrelated	1000	10000	2522574	2522529	4005798	0.0	
00Uncorrelated	1000	10000	2428425	2428329	4182517	0.0	
00Uncorrelated	1000	10000	2471324	2471305	4049295	0.0	
00Uncorrelated	1000	10000	2473746	2473742	3990099	0.015583276748657227	
00Uncorrelated	1000	10000	2513616	2513608	4127992	0.0	

00Uncorrelated	2000	1000	502731	502731	808902	0.015628814697265625	
00Uncorrelated	2000	1000	493166	493164	810065	0.015622615814208984	
00Uncorrelated	2000	1000	497949	497947	810709	0.01562786102294922	
00Uncorrelated	2000	1000	496442	496440	801668	0.015627145767211914	
00Uncorrelated	2000	1000	487917	487917	826873	0.01562190055847168	

00Uncorrelated	2000	10000	5023050	5023024	8084297	0.015639543533325195	
00Uncorrelated	2000	10000	4927208	4927182	8095793	0.015616655349731445	
00Uncorrelated	2000	10000	4974947	4974929	8102621	0.015653610229492188	
00Uncorrelated	2000	10000	4960028	4960001	8012111	0.015610933303833008	
00Uncorrelated	2000	10000	4874766	4874744	8264097	0.015650510787963867	

00Uncorrelated	5000	1000	1231707	1231707	2041002	0.07811689376831055	
00Uncorrelated	5000	1000	1226932	1226932	2036236	0.06251692771911621	
00Uncorrelated	5000	1000	1224943	1224942	2024515	0.06251835823059082	
00Uncorrelated	5000	1000	1246725	1246725	2018339	0.062490224838256836	
00Uncorrelated	5000	1000	1232781	1232781	2030954	0.04684853553771973	

00Uncorrelated	5000	10000	12305923	12305918	20398463	0.06248617172241211	
00Uncorrelated	5000	10000	12258110	12258103	20350548	0.06253337860107422	
00Uncorrelated	5000	10000	12238256	12238256	20233512	0.06251692771911621	
00Uncorrelated	5000	10000	12456182	12456172	20171425	0.06251883506774902	
00Uncorrelated	5000	10000	12316856	12316839	20297852	0.06250500679016113	

00Uncorrelated	10000	1000	2478760	2478760	4052367	0.33261966705322266	
00Uncorrelated	10000	1000	2485983	2485983	4031311	0.31938791275024414	
00Uncorrelated	10000	1000	2485169	2485169	4033221	0.3389890193939209	
00Uncorrelated	10000	1000	2481222	2481222	4041183	0.4339118003845215	
00Uncorrelated	10000	1000	2476985	2476985	4040664	0.3353259563446045	

00Uncorrelated	10000	10000	24765115	24765111	40500261	0.6811840534210205	
00Uncorrelated	10000	10000	24837558	24837547	40289356	0.5390169620513916	
00Uncorrelated	10000	10000	24829557	24829554	40308620	0.4218769073486328	
00Uncorrelated	10000	10000	24789943	24789941	40388415	0.4531259536743164	
00Uncorrelated	10000	10000	24747420	24747417	40383379	0.4170198440551758	

