Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
01WeaklyCorrelated	50	1000	14239	14232	15768	0.0011451244354248047	
01WeaklyCorrelated	50	10000	142283	142272	157504	0.0	
01WeaklyCorrelated	100	1000	29017	29013	31064	0.015626192092895508	
01WeaklyCorrelated	100	10000	289961	289895	310315	0.0	
01WeaklyCorrelated	200	1000	51563	51563	56976	0.0	
01WeaklyCorrelated	200	10000	515200	515196	569063	0.01563739776611328	
01WeaklyCorrelated	500	1000	127278	127276	139258	0.0	
01WeaklyCorrelated	500	10000	1271685	1271685	1390993	0.015634536743164062	
01WeaklyCorrelated	1000	1000	245972	245972	273052	0.0	
01WeaklyCorrelated	1000	10000	2457533	2457528	2727089	0.015686750411987305	
01WeaklyCorrelated	2000	1000	498452	498452	552506	0.0	
01WeaklyCorrelated	2000	10000	4980108	4980107	5518106	0.0	
01WeaklyCorrelated	5000	1000	1249257	1249257	1378225	0.046874284744262695	
01WeaklyCorrelated	5000	10000	12481621	12481621	13765053	0.21953821182250977	
01WeaklyCorrelated	10000	1000	2480964	2480964	2743167	0.6384544372558594	
01WeaklyCorrelated	10000	10000	24787545	24787545	27397375	0.2702040672302246	

