Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
02StronglyCorrelated	50	1000	14239	14239	17539	0.024004220962524414	
02StronglyCorrelated	50	1000	11793	11793	15293	0.18680500984191895	
02StronglyCorrelated	50	1000	13570	13570	16970	0.01299285888671875	
02StronglyCorrelated	50	1000	13214	13214	16614	0.0009958744049072266	
02StronglyCorrelated	50	1000	12263	12263	15763	0.0019943714141845703	

02StronglyCorrelated	50	10000	142283	142283	175283	0.02299642562866211	
02StronglyCorrelated	50	10000	117821	117821	152821	0.22725868225097656	
02StronglyCorrelated	50	10000	135607	135607	169607	0.015941381454467773	
02StronglyCorrelated	50	10000	132031	132028	166028	0.0010023117065429688	
02StronglyCorrelated	50	10000	122529	122529	157529	0.0039980411529541016	

02StronglyCorrelated	100	1000	29017	29017	35617	0.1175684928894043	
02StronglyCorrelated	100	1000	25391	25391	32291	1.4589853286743164	
02StronglyCorrelated	100	1000	27381	27381	34181	0.31136059761047363	
02StronglyCorrelated	100	1000	26811	26811	33711	0.18207192420959473	
02StronglyCorrelated	100	1000	23881	23881	30981	77.15706872940063	

02StronglyCorrelated	100	10000	289961	289961	355961	0.261077880859375	
02StronglyCorrelated	100	10000	253672	253672	322672	4.2166664600372314	
02StronglyCorrelated	100	10000	273625	273625	341625	1.0331125259399414	
02StronglyCorrelated	100	10000	267913	267913	336913	0.4660022258758545	
02StronglyCorrelated	100	10000	238613	238613	309613	180.02905297279358	

02StronglyCorrelated	200	1000	51563	51563	65363	180.04834747314453	
02StronglyCorrelated	200	1000	48106	48106	62206	30.209108114242554	
02StronglyCorrelated	200	1000	49000	48908	63008	180.10096406936646	
02StronglyCorrelated	200	1000	50855	50855	64755	181.43287324905396	
02StronglyCorrelated	200	1000	49428	49428	63728	2.6570322513580322	

02StronglyCorrelated	200	10000	515200	515200	653200	180.0229036808014	
02StronglyCorrelated	200	10000	480612	480612	621612	177.68216156959534	
02StronglyCorrelated	200	10000	489583	488697	629697	180.02716207504272	
02StronglyCorrelated	200	10000	508116	508116	647116	180.0290548801422	
02StronglyCorrelated	200	10000	493884	493884	636884	9.462406158447266	

02StronglyCorrelated	500	1000	127278	127278	162178	180.03006076812744	
