Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
03InverseStronglyCorrelated	50	1000	16714	16714	14914	1.720029354095459	
03InverseStronglyCorrelated	50	1000	14268	14191	12691	0.053998708724975586	
03InverseStronglyCorrelated	50	1000	16046	16046	14346	0.19903206825256348	
03InverseStronglyCorrelated	50	1000	15690	15690	13990	0.006994962692260742	
03InverseStronglyCorrelated	50	1000	14738	14738	13138	0.005995273590087891	

03InverseStronglyCorrelated	50	10000	167036	167036	149036	3.0236785411834717	
03InverseStronglyCorrelated	50	10000	142574	141841	126841	0.029167890548706055	
03InverseStronglyCorrelated	50	10000	160359	160359	143359	0.3090214729309082	
03InverseStronglyCorrelated	50	10000	156784	156784	139784	0.011001825332641602	
03InverseStronglyCorrelated	50	10000	147281	147279	131279	0.013002634048461914	

03InverseStronglyCorrelated	100	1000	33968	33968	30468	0.00600433349609375	
03InverseStronglyCorrelated	100	1000	30342	30342	27042	130.53736782073975	
03InverseStronglyCorrelated	100	1000	32332	32332	28932	180.04165983200073	
03InverseStronglyCorrelated	100	1000	31761	31761	28461	180.0151035785675	
03InverseStronglyCorrelated	100	1000	28832	28786	25786	0.04500174522399902	

03InverseStronglyCorrelated	100	10000	339466	339466	304466	0.002000570297241211	
03InverseStronglyCorrelated	100	10000	303177	303177	270177	180.0197217464447	
03InverseStronglyCorrelated	100	10000	323130	323130	289130	180.0402228832245	
03InverseStronglyCorrelated	100	10000	317418	317418	284418	180.02366495132446	
03InverseStronglyCorrelated	100	10000	288118	287742	257742	0.015001773834228516	

03InverseStronglyCorrelated	200	1000	61464	61464	54964	0.015996456146240234	
03InverseStronglyCorrelated	200	1000	58007	58007	51707	180.02679014205933	
03InverseStronglyCorrelated	200	1000	58900	58900	52700	0.008996248245239258	
03InverseStronglyCorrelated	200	1000	60756	60756	54356	1.4034461975097656	
03InverseStronglyCorrelated	200	1000	59329	59329	53229	180.03291273117065	

03InverseStronglyCorrelated	200	10000	614209	614209	549209	0.08299899101257324	
03InverseStronglyCorrelated	200	10000	579622	579622	516622	180.02348065376282	
03InverseStronglyCorrelated	200	10000	588593	588593	526593	0.01400446891784668	
03InverseStronglyCorrelated	200	10000	607126	607126	543126	5.548007488250732	
