Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
04AlmostStronglyCorrelated	50	1000	14239	14238	17556	0.03501391410827637	
04AlmostStronglyCorrelated	50	1000	11793	11792	15308	0.22100472450256348	
04AlmostStronglyCorrelated	50	1000	13570	13570	16983	0.011001348495483398	
04AlmostStronglyCorrelated	50	1000	13214	13214	16616	0.0009980201721191406	
04AlmostStronglyCorrelated	50	1000	12263	12263	15764	0.0029990673065185547	

04AlmostStronglyCorrelated	50	10000	142283	142280	175434	0.027001619338989258	
04AlmostStronglyCorrelated	50	10000	117821	117814	152979	0.44099998474121094	
04AlmostStronglyCorrelated	50	10000	135607	135605	169704	0.0169980525970459	
04AlmostStronglyCorrelated	50	10000	132031	132028	166017	0.002001047134399414	
04AlmostStronglyCorrelated	50	10000	122529	122517	157563	0.003993988037109375	

04AlmostStronglyCorrelated	100	1000	29017	29016	35611	0.05600285530090332	
04AlmostStronglyCorrelated	100	1000	25391	25391	32284	0.535001277923584	
04AlmostStronglyCorrelated	100	1000	27381	27381	34177	0.09799981117248535	
04AlmostStronglyCorrelated	100	1000	26811	26810	33719	0.05799698829650879	
04AlmostStronglyCorrelated	100	1000	23881	23881	31001	24.452705144882202	

04AlmostStronglyCorrelated	100	10000	289961	289960	355902	0.11900186538696289	
04AlmostStronglyCorrelated	100	10000	253672	253672	322602	1.5599093437194824	
04AlmostStronglyCorrelated	100	10000	273625	273619	341579	0.19400238990783691	
04AlmostStronglyCorrelated	100	10000	267913	267913	336950	0.1839921474456787	
04AlmostStronglyCorrelated	50	10000	142283	142280	175434	0.048999786376953125	
04AlmostStronglyCorrelated	100	10000	238613	238613	309773	83.85050439834595	

04AlmostStronglyCorrelated	200	1000	51563	51563	65385	180.06291937828064	
04AlmostStronglyCorrelated	200	1000	48106	48106	62209	3.2350008487701416	
04AlmostStronglyCorrelated	200	1000	49000	48881	62997	180.09395575523376	
04AlmostStronglyCorrelated	200	1000	50855	50855	64765	180.09041547775269	
04AlmostStronglyCorrelated	200	1000	49428	49428	63763	0.14799880981445312	

04AlmostStronglyCorrelated	200	10000	515200	515198	653363	180.0658187866211	
04AlmostStronglyCorrelated	200	10000	480612	480609	621620	9.41899037361145	
04AlmostStronglyCorrelated	200	10000	489583	488531	629650	180.0360565185547	
04AlmostStronglyCorrelated	200	10000	508116	508114	647192	180.02822136878967	
04AlmostStronglyCorrelated	200	10000	493884	493882	637176	0.9350707530975342	

