Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
05SubsetSum	50	1000	14239	14239	14239	0.0009913444519042969	
05SubsetSum	50	1000	11793	11793	11793	0.0	
05SubsetSum	50	1000	13570	13570	13570	0.0019996166229248047	
05SubsetSum	50	1000	13214	13214	13214	0.000997781753540039	
05SubsetSum	50	1000	12263	12263	12263	0.0010013580322265625	

05SubsetSum	50	10000	142283	142283	142283	0.0010006427764892578	
05SubsetSum	50	10000	117821	117821	117821	0.003000974655151367	
05SubsetSum	50	10000	135607	135607	135607	0.002998828887939453	
05SubsetSum	50	10000	132031	132031	132031	0.0010013580322265625	
05SubsetSum	50	10000	122529	122529	122529	0.002989530563354492	

05SubsetSum	100	1000	29017	29017	29017	0.0009984970092773438	
05SubsetSum	100	1000	25391	25391	25391	0.002002716064453125	
05SubsetSum	100	1000	27381	27381	27381	0.0020003318786621094	
05SubsetSum	100	1000	26811	26811	26811	0.0020024776458740234	
05SubsetSum	100	1000	23881	23881	23881	0.0029954910278320312	

05SubsetSum	100	10000	289961	289961	289961	0.005999088287353516	
05SubsetSum	100	10000	253672	253672	253672	0.0029997825622558594	
05SubsetSum	100	10000	273625	273625	273625	0.004000425338745117	
05SubsetSum	100	10000	267913	267913	267913	0.002000093460083008	
05SubsetSum	100	10000	238613	238613	238613	0.002003192901611328	

05SubsetSum	200	1000	51563	51563	51563	0.0060024261474609375	
05SubsetSum	200	1000	48106	48106	48106	0.002000570297241211	
05SubsetSum	200	1000	49000	49000	49000	0.0029973983764648438	
05SubsetSum	200	1000	50855	50855	50855	0.003003835678100586	
05SubsetSum	200	1000	49428	49428	49428	0.003000974655151367	

05SubsetSum	200	10000	515200	515200	515200	0.0029976367950439453	
05SubsetSum	200	10000	480612	480612	480612	0.003000974655151367	
05SubsetSum	200	10000	489583	489583	489583	0.001999378204345703	
05SubsetSum	200	10000	508116	508116	508116	0.002999544143676758	
05SubsetSum	200	10000	493884	493884	493884	0.005002498626708984	

05SubsetSum	500	1000	127278	127278	127278	0.0040035247802734375	
05SubsetSum	500	1000	123764	123764	123764	0.003000497817993164	
05SubsetSum	500	1000	125404	125404	125404	0.003998994827270508	
05SubsetSum	500	1000	125125	125125	125125	0.004000186920166016	
05SubsetSum	500	1000	128232	128232	128232	0.002999544143676758	

05SubsetSum	500	10000	1271685	1271685	1271685	0.012001752853393555	
05SubsetSum	500	10000	1236477	1236477	1236477	0.009998798370361328	
05SubsetSum	500	10000	1252990	1252990	1252990	0.005000114440917969	
05SubsetSum	500	10000	1250149	1250149	1250149	0.00600886344909668	
05SubsetSum	500	10000	1281236	1281236	1281236	0.004001617431640625	

05SubsetSum	1000	1000	245972	245972	245972	0.0049974918365478516	
05SubsetSum	1000	1000	254777	254777	254777	0.0060040950775146484	
05SubsetSum	1000	1000	249752	249752	249752	0.008001089096069336	
05SubsetSum	1000	1000	246057	246057	246057	0.005001544952392578	
05SubsetSum	1000	1000	251539	251539	251539	0.007000923156738281	

05SubsetSum	1000	10000	2457533	2457533	2457533	0.0050008296966552734	
05SubsetSum	1000	10000	2545476	2545476	2545476	0.014001607894897461	
05SubsetSum	1000	10000	2495400	2495400	2495400	0.0060002803802490234	
05SubsetSum	1000	10000	2458372	2458372	2458372	0.018997669219970703	
05SubsetSum	1000	10000	2513202	2513202	2513202	0.011999368667602539	

05SubsetSum	2000	1000	498452	498452	498452	0.01700115203857422	
05SubsetSum	2000	1000	497847	497847	497847	0.02300238609313965	
05SubsetSum	2000	1000	497105	497105	497105	0.014999628067016602	
05SubsetSum	2000	1000	493654	493654	493654	0.024013996124267578	
05SubsetSum	2000	1000	503127	503127	503127	0.016000986099243164	

05SubsetSum	2000	10000	4980108	4980108	4980108	0.020000696182250977	
05SubsetSum	2000	10000	4973901	4973901	4973901	0.042005062103271484	
05SubsetSum	2000	10000	4966724	4966724	4966724	0.024999380111694336	
05SubsetSum	2000	10000	4932118	4932118	4932118	0.03400087356567383	
05SubsetSum	2000	10000	5026818	5026818	5026818	0.09500265121459961	

05SubsetSum	5000	1000	1249257	1249257	1249257	0.09599781036376953	
05SubsetSum	5000	1000	1240984	1240984	1240984	0.10300230979919434	
05SubsetSum	5000	1000	1241987	1241987	1241987	0.09000325202941895	
05SubsetSum	5000	1000	1233433	1233433	1233433	0.12600326538085938	
05SubsetSum	5000	1000	1244508	1244508	1244508	0.08100438117980957	

05SubsetSum	5000	10000	12481621	12481621	12481621	0.15200185775756836	
05SubsetSum	5000	10000	12398689	12398689	12398689	0.19300222396850586	
05SubsetSum	5000	10000	12408798	12408798	12408798	0.1400008201599121	
05SubsetSum	5000	10000	12323304	12323304	12323304	0.12499880790710449	
05SubsetSum	5000	10000	12433986	12433986	12433986	0.1569967269897461	

05SubsetSum	10000	1000	2480964	2480964	2480964	0.6670048236846924	
05SubsetSum	10000	1000	2467916	2467916	2467916	0.6992771625518799	
05SubsetSum	10000	1000	2466930	2466930	2466930	0.5710020065307617	
05SubsetSum	10000	1000	2480159	2480159	2480159	0.6810009479522705	
05SubsetSum	10000	1000	2477289	2477289	2477289	0.5420024394989014	

05SubsetSum	10000	10000	24787545	24787545	24787545	0.4889347553253174	
05SubsetSum	10000	10000	24656800	24656800	24656800	0.42099928855895996	
05SubsetSum	10000	10000	24647054	24647054	24647054	0.38100719451904297	
05SubsetSum	10000	10000	24779487	24779487	24779487	0.554309606552124	
05SubsetSum	10000	10000	24750843	24750843	24750843	0.5930025577545166	

