Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
06UncorrelatedWithSimilarWeights	50	1000	2476727	2401482	19676	0.07200050354003906	
06UncorrelatedWithSimilarWeights	50	1000	2476607	2401186	17920	0.02299952507019043	
06UncorrelatedWithSimilarWeights	50	1000	2476627	2401507	19477	0.06200385093688965	
06UncorrelatedWithSimilarWeights	50	1000	2476606	2401535	18611	0.23099946975708008	
06UncorrelatedWithSimilarWeights	50	1000	2476406	2401047	18362	0.022003889083862305	

06UncorrelatedWithSimilarWeights	50	10000	2476727	2401482	19676	0.07999849319458008	
06UncorrelatedWithSimilarWeights	50	10000	2476607	2401186	17920	0.02100062370300293	
06UncorrelatedWithSimilarWeights	50	10000	2476627	2401507	19477	0.06700015068054199	
06UncorrelatedWithSimilarWeights	50	10000	2476606	2401535	18611	0.34999990463256836	
06UncorrelatedWithSimilarWeights	50	10000	2476406	2401047	18362	0.023998498916625977	

06UncorrelatedWithSimilarWeights	100	1000	4952745	4902253	39791	15.025370836257935	
06UncorrelatedWithSimilarWeights	100	1000	4952761	4902351	37000	4.708996534347534	
06UncorrelatedWithSimilarWeights	100	1000	4952651	4902104	39395	0.6679966449737549	
06UncorrelatedWithSimilarWeights	100	1000	4952898	4902473	39436	1.6610009670257568	
06UncorrelatedWithSimilarWeights	100	1000	4953050	4902652	36658	0.034002065658569336	

06UncorrelatedWithSimilarWeights	100	10000	4952745	4902253	39791	18.625170946121216	
06UncorrelatedWithSimilarWeights	100	10000	4952761	4902351	37000	5.325238943099976	
06UncorrelatedWithSimilarWeights	100	10000	4952651	4902104	39395	0.4140000343322754	
06UncorrelatedWithSimilarWeights	100	10000	4952898	4902473	39436	1.0070171356201172	
06UncorrelatedWithSimilarWeights	100	10000	4953050	4902652	36658	0.02099776268005371	

06UncorrelatedWithSimilarWeights	200	1000	9906016	9904900	75678	0.002001047134399414	
06UncorrelatedWithSimilarWeights	200	1000	9905870	9904984	72399	0.002996683120727539	
06UncorrelatedWithSimilarWeights	200	1000	9906122	9904931	74488	0.0019922256469726562	
06UncorrelatedWithSimilarWeights	200	1000	9905943	9905083	75671	0.0009996891021728516	
06UncorrelatedWithSimilarWeights	200	1000	9906136	9904799	76888	0.001001119613647461	

06UncorrelatedWithSimilarWeights	200	10000	9906016	9904900	75678	0.001001119613647461	
06UncorrelatedWithSimilarWeights	200	10000	9905870	9904984	72399	0.0009982585906982422	
06UncorrelatedWithSimilarWeights	200	10000	9906122	9904931	74488	0.0009970664978027344	
06UncorrelatedWithSimilarWeights	200	10000	9905943	9905083	75671	0.0009996891021728516	
06UncorrelatedWithSimilarWeights	200	10000	9906136	9904799	76888	0.0019981861114501953	

06UncorrelatedWithSimilarWeights	500	1000	24764323	24712055	189769	180.11901569366455	
06UncorrelatedWithSimilarWeights	500	1000	24765570	24712830	187312	180.04097867012024	
06UncorrelatedWithSimilarWeights	500	1000	24764898	24712606	187186	180.091046333313	
06UncorrelatedWithSimilarWeights	500	1000	24764553	24712331	186020	180.03164410591125	
06UncorrelatedWithSimilarWeights	500	1000	24764789	24712439	195022	180.0890543460846	

06UncorrelatedWithSimilarWeights	500	10000	24764323	24712055	189769	180.1271848678589	
