Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
08SpannerWeaklyCorrelated	50	1000	11459	11452	10354	1.33128023147583	
08SpannerWeaklyCorrelated	50	10000	115938	115687	102774	1.3265035152435303	
08SpannerWeaklyCorrelated	100	1000	20835	20824	20550	0.0	
08SpannerWeaklyCorrelated	100	10000	210690	210158	203856	0.03124403953552246	
08SpannerWeaklyCorrelated	200	1000	41138	41116	40575	13.260757684707642	
08SpannerWeaklyCorrelated	200	10000	415993	415714	403248	60.012730836868286	
08SpannerWeaklyCorrelated	500	1000	100079	100076	98713	60.049726247787476	
08SpannerWeaklyCorrelated	500	10000	1011786	1011673	981336	60.0540566444397	
08SpannerWeaklyCorrelated	1000	1000	198695	198664	196050	60.01742362976074	
08SpannerWeaklyCorrelated	1000	10000	2008905	2008773	1948536	60.02255868911743	
08SpannerWeaklyCorrelated	2000	1000	397184	397176	391950	60.00270462036133	
08SpannerWeaklyCorrelated	2000	10000	4016034	4016012	3895584	60.01681590080261	
08SpannerWeaklyCorrelated	5000	1000	977374	977360	964500	60.013073682785034	
08SpannerWeaklyCorrelated	5000	10000	9882587	9882028	9585696	60.00895142555237	
08SpannerWeaklyCorrelated	10000	1000	1973467	1973416	1947450	60.01426362991333	
08SpannerWeaklyCorrelated	10000	10000	19954208	19954194	19355598	60.00321960449219	

