Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
09SpannerStronglyCorrelated	50	1000	11546	11540	28440	60.00971245765686	
09SpannerStronglyCorrelated	50	10000	116813	116753	285753	39.036017656326294	
09SpannerStronglyCorrelated	100	1000	20956	20956	51656	9.124729871749878	
09SpannerStronglyCorrelated	100	10000	211906	211835	518835	0.0312647819519043	
09SpannerStronglyCorrelated	200	1000	41289	41288	101888	60.016573429107666	
09SpannerStronglyCorrelated	200	10000	417512	417469	1022469	60.00810980796814	
09SpannerStronglyCorrelated	500	1000	99998	99928	245128	60.02740168571472	
09SpannerStronglyCorrelated	500	10000	1010955	1010672	2460672	60.03873324394226	
09SpannerStronglyCorrelated	1000	1000	198807	198772	488672	60.019615650177	
09SpannerStronglyCorrelated	1000	10000	2010044	2009566	4903566	60.01372027397156	
09SpannerStronglyCorrelated	2000	1000	397271	397264	979064	60.01324534416199	
09SpannerStronglyCorrelated	2000	10000	4016909	4016844	9824844	60.01375484466553	
09SpannerStronglyCorrelated	5000	1000	977299	977252	2409352	59.99056649208069	
09SpannerStronglyCorrelated	5000	10000	9881827	9881378	24177378	60.00662064552307	
09SpannerStronglyCorrelated	10000	1000	1973354	1973348	4863248	59.99369502067566	
09SpannerStronglyCorrelated	10000	10000	19953069	19952855	48801855	60.0154082775116	

