Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
12Circle	50	1000	14239	14239	300031	0.5663316249847412	
12Circle	50	10000	142283	142283	9485054	3.8457603454589844	
12Circle	100	1000	29017	29017	611418	0.16699004173278809	
12Circle	100	10000	289961	289961	19329757	5.524369716644287	
12Circle	200	1000	51563	51563	1086483	60.05955219268799	
12Circle	200	10000	515200	515200	34344928	26.066712379455566	
12Circle	500	1000	127278	127278	2681868	60.04706335067749	
12Circle	500	10000	1271685	1271685	84774716	60.05705666542053	
12Circle	1000	1000	245972	245972	5182856	0.011000633239746094	
12Circle	1000	10000	2457533	2457533	163827248	60.02210450172424	
12Circle	2000	1000	498452	498452	10502842	60.00452446937561	
12Circle	2000	10000	4980108	4980108	331990407	60.00321960449219	
12Circle	5000	1000	1249257	1249257	26323007	60.00038528442383	
12Circle	5000	10000	12481621	12481621	832065987	60.00846195220947	
12Circle	10000	1000	2480964	2480964	52276225	60.00039505958557	
12Circle	10000	10000	24787545	24787545	1652419440	60.00363564491272	
